,race,age,engnat,gender,hand,source,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,cluster
2014,4,14,1,2,1,1,2,4,3,4,2,3,2,4,2,4,5,1,5,1,4,5,5,4,5,5,3,5,2,3,2,3,1,3,3,2,3,2,5,4,3,2,4,3,4,4,4,2,5,2,5,1,5,4,5,5,0
2015,3,33,1,2,1,5,3,2,4,2,4,2,2,3,5,4,2,3,4,1,2,1,3,3,5,5,3,3,3,2,4,5,4,3,2,5,5,1,5,2,5,1,5,1,5,5,4,2,4,3,5,1,5,5,5,3,2
2016,3,43,1,1,0,1,1,4,5,5,3,4,3,5,4,5,2,5,4,1,3,4,4,5,2,4,2,5,1,3,5,5,3,2,2,5,4,5,4,1,3,4,3,1,1,3,4,1,1,2,4,1,5,5,1,5,4
2017,3,21,1,2,1,2,2,1,5,4,4,1,4,4,2,4,5,2,4,4,4,3,4,2,3,1,1,5,2,5,1,5,1,5,5,4,4,3,5,1,3,2,4,1,5,4,4,2,5,2,4,1,5,3,5,4,2
2018,3,47,1,1,1,1,2,4,2,4,3,4,1,5,2,4,4,3,5,3,1,4,3,2,4,2,3,2,4,3,4,2,4,2,2,3,4,2,5,1,5,1,5,1,4,5,4,3,5,3,4,1,4,4,4,4,4
2019,3,50,1,2,1,1,3,2,5,5,5,1,5,4,1,1,4,3,4,4,3,2,3,2,3,3,1,5,2,5,1,5,1,4,5,4,5,5,3,2,4,2,4,2,4,4,2,2,5,1,3,1,4,3,5,5,2
2020,3,47,1,2,1,1,4,1,5,2,5,1,5,2,4,1,2,3,3,4,2,1,2,1,1,2,1,5,2,5,1,4,1,4,4,5,3,4,3,2,2,4,5,2,5,3,4,2,4,2,4,1,4,4,5,4,1
2021,11,16,2,1,1,1,4,1,4,3,4,3,3,3,2,5,4,4,4,3,4,4,4,3,4,4,4,4,4,4,2,5,3,4,4,3,3,3,4,3,3,3,3,2,4,4,2,3,3,2,4,1,4,3,3,4,3
2022,11,24,1,2,1,1,3,3,4,2,5,2,2,2,5,5,4,2,3,3,3,2,3,3,3,3,4,3,1,5,3,3,3,2,5,4,2,3,3,3,4,2,2,3,5,5,2,2,3,3,3,4,2,2,2,3,3
2023,7,16,1,2,1,1,2,1,4,3,4,2,2,3,2,4,5,2,5,1,2,4,2,3,4,2,1,4,2,5,3,3,2,4,4,4,4,1,3,1,1,1,3,1,3,3,3,2,4,3,3,2,5,3,5,4,2
2024,6,17,2,2,3,1,2,3,3,3,3,2,2,4,3,4,3,3,3,4,3,3,5,5,3,4,3,4,3,4,1,2,3,4,3,3,3,4,4,3,3,4,3,3,3,2,3,1,4,1,3,1,5,3,4,5,0
2025,3,41,1,2,1,1,4,1,4,1,5,2,4,2,5,2,4,4,4,2,4,4,3,3,4,4,2,4,4,4,2,4,2,5,5,5,4,2,2,2,2,2,4,3,4,3,1,3,4,3,3,2,2,1,5,2,3
2026,1,14,1,2,1,1,2,2,2,3,2,1,2,2,5,5,5,2,4,1,4,5,5,5,5,5,4,4,3,2,2,3,3,2,2,1,1,5,4,4,1,5,4,5,3,4,4,2,4,1,3,2,4,4,4,4,0
2027,3,21,1,2,1,1,3,2,5,3,4,1,3,2,4,2,4,5,4,2,2,2,4,4,2,2,2,5,1,4,3,4,2,5,4,4,4,5,5,2,2,5,5,4,4,5,5,1,5,2,5,1,5,5,5,5,2
2028,0,17,1,2,1,2,3,3,1,4,4,1,1,4,3,4,4,2,4,2,2,4,3,2,5,4,4,1,5,1,5,2,5,2,4,5,5,1,2,4,2,5,4,2,4,5,5,1,5,1,5,1,5,5,5,5,4
2029,13,41,1,2,1,2,2,1,1,4,5,3,3,5,1,5,5,1,5,1,5,5,5,5,5,5,1,4,3,3,1,3,3,5,5,3,2,1,4,2,5,5,1,2,3,5,2,3,4,3,5,5,5,3,5,3,3
2030,5,15,1,2,1,1,5,2,4,2,5,1,3,2,4,3,4,1,5,2,4,3,4,3,4,4,2,4,3,4,1,4,1,5,5,5,4,1,5,2,5,1,5,1,4,5,4,3,5,1,5,1,3,4,4,5,2
2031,13,31,2,2,1,2,2,3,4,4,3,3,3,4,1,4,4,3,4,3,3,4,2,2,4,3,5,4,1,4,2,4,2,4,4,4,3,5,5,3,3,4,4,3,3,4,3,4,4,2,4,2,3,2,3,3,3
2032,3,14,1,2,1,1,3,1,1,2,5,1,4,2,5,2,5,1,4,1,3,5,5,5,5,5,5,4,5,2,3,1,3,3,1,1,4,2,5,4,2,1,5,2,5,5,3,1,5,1,5,1,5,3,5,5,0
2033,3,20,1,2,1,2,3,3,3,3,4,2,5,3,3,3,5,3,5,1,4,5,5,5,5,5,1,4,2,5,1,5,1,5,5,5,3,3,3,2,2,2,3,2,3,4,4,3,4,3,3,2,3,4,3,3,0
2034,3,35,1,2,1,5,1,1,5,2,5,1,5,3,5,5,5,3,5,3,3,5,5,5,5,1,1,5,1,5,1,5,1,5,5,5,3,1,5,5,1,5,5,1,2,5,4,1,5,1,5,1,5,2,5,5,0
2035,11,17,2,2,1,2,1,1,5,4,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,1,5,1,5,5,5,3,5,5,4,3,5,5,3,5,5,4,1,4,1,4,1,5,4,5,5,0
2036,3,25,1,2,1,2,2,2,3,3,5,1,3,5,1,2,5,1,5,1,5,5,3,2,4,5,1,5,1,5,1,5,1,5,5,4,3,3,5,2,4,1,5,1,3,5,2,3,5,1,3,3,3,2,5,5,2
2037,1,22,1,2,1,1,2,5,2,4,2,2,1,5,2,5,5,2,5,2,4,3,4,4,4,4,4,5,1,4,4,4,2,4,2,2,4,2,4,3,1,2,5,4,1,4,4,1,5,1,5,1,5,4,5,5,4
2038,3,48,1,2,2,1,1,2,3,3,4,1,4,3,1,3,2,1,4,3,4,3,3,3,1,2,1,5,1,5,3,5,1,5,4,4,2,5,3,1,3,3,3,1,5,3,1,5,2,5,4,3,4,1,4,4,3
2039,3,17,1,1,1,1,2,5,1,5,2,5,1,5,1,5,4,1,5,5,4,3,4,4,5,5,1,4,1,5,1,4,1,5,4,5,3,3,4,5,1,4,3,3,1,1,1,2,4,5,2,2,4,1,4,3,3
2040,3,20,1,2,1,2,1,5,2,5,2,4,2,5,1,5,4,3,4,2,4,3,2,1,4,3,4,3,1,4,3,3,4,3,2,2,4,2,5,1,4,2,4,1,4,4,5,1,4,2,4,1,5,4,4,4,4
2041,4,33,1,2,1,1,3,1,5,1,5,1,5,1,5,1,5,1,5,3,5,4,5,5,5,2,1,5,3,4,2,5,1,5,5,4,1,5,1,5,3,5,1,3,1,2,3,5,4,5,3,3,2,3,1,3,0
2042,11,40,2,2,1,1,1,2,2,4,1,1,1,5,1,5,2,4,4,1,2,2,4,4,4,4,1,4,4,4,2,5,2,4,4,2,4,1,4,1,5,1,4,2,4,4,5,2,5,2,4,1,4,4,4,4,4
2043,11,22,2,2,1,1,4,3,5,4,4,5,3,3,2,5,3,4,4,3,3,4,4,3,2,3,5,5,1,4,3,5,1,1,4,3,4,5,3,1,1,5,3,3,3,3,3,1,4,3,3,1,4,2,3,3,3
2044,3,14,1,2,1,1,3,2,1,4,2,2,1,4,4,5,4,2,4,2,3,4,5,5,4,5,1,4,4,4,1,5,2,5,5,4,4,4,3,5,4,4,3,1,3,3,2,3,4,2,1,2,3,2,5,3,3
2045,1,26,2,1,1,1,1,1,1,1,5,4,5,5,5,1,5,1,5,5,5,1,4,4,1,5,5,5,1,5,1,5,2,5,5,5,1,1,5,2,2,5,5,3,5,5,4,1,2,1,4,2,4,5,2,5,0
2046,3,31,1,1,1,1,2,2,4,1,5,1,4,4,1,2,3,3,3,4,1,5,4,4,5,2,1,3,2,4,2,2,2,4,2,3,4,4,5,1,3,1,5,2,4,5,5,1,5,2,4,1,5,5,5,5,2
2047,3,21,1,2,1,1,2,3,5,2,3,2,2,4,5,3,4,3,4,3,1,3,2,1,2,1,1,4,1,4,2,3,1,3,3,4,5,1,5,1,5,1,5,1,5,4,4,1,2,2,4,4,5,4,4,3,2
2048,13,20,2,2,1,1,2,1,3,5,3,2,4,4,3,2,2,1,5,3,5,5,4,5,4,2,5,3,1,5,1,5,3,5,5,5,4,1,4,4,4,1,1,3,4,2,1,1,5,1,4,1,4,1,3,5,0
2049,11,27,2,2,1,5,3,4,5,1,4,3,3,5,4,3,2,1,3,1,3,1,1,3,4,2,1,5,1,4,3,5,1,4,5,4,4,1,4,1,2,2,2,1,5,4,2,1,5,1,3,1,4,1,4,3,2
2050,3,16,1,3,1,1,2,4,1,5,1,4,1,5,5,5,4,2,5,1,4,4,3,4,4,5,1,5,3,5,1,5,1,4,4,3,2,4,4,4,1,5,3,4,3,4,3,2,5,4,2,1,3,3,5,4,0
2051,11,26,1,1,1,1,2,5,2,5,1,5,1,5,1,5,4,2,5,1,3,3,3,2,2,4,2,3,3,5,3,4,4,5,5,3,4,3,4,5,1,5,3,5,3,4,1,2,4,2,4,2,4,1,5,3,4
2052,3,18,1,2,2,2,3,2,5,3,5,2,3,4,1,5,5,3,4,2,4,4,2,4,4,5,4,4,3,4,2,5,1,5,4,4,5,5,4,4,4,4,5,2,4,3,4,4,2,2,3,3,4,2,5,4,3
2053,13,40,1,1,2,1,4,1,5,2,3,1,4,3,3,2,3,3,4,3,3,3,2,1,3,3,1,4,1,4,2,4,3,3,4,4,3,3,4,3,2,2,4,2,3,4,4,1,5,1,3,1,4,2,4,4,1
2054,3,51,1,2,1,1,3,2,4,3,5,2,3,3,3,3,3,2,4,2,3,3,4,3,4,4,2,4,2,4,2,3,2,2,4,3,3,4,3,3,3,4,2,1,2,4,5,1,5,1,4,1,4,5,5,5,0
2055,3,22,1,2,1,5,2,2,4,3,5,2,4,2,1,3,4,3,4,2,2,1,3,3,2,3,5,5,2,5,1,4,1,5,5,4,5,5,4,3,4,2,5,1,5,5,4,1,5,1,4,1,4,4,5,4,2
2056,13,34,1,2,1,1,3,1,5,4,5,1,5,4,3,1,1,4,2,5,1,1,1,1,1,1,1,5,1,5,2,4,1,5,5,5,4,1,5,1,5,1,5,1,5,5,5,4,5,2,5,1,5,1,4,5,2
2057,4,20,2,2,1,1,2,2,2,1,3,2,3,2,5,5,5,1,5,1,4,5,5,5,5,3,4,3,3,5,2,5,1,5,4,4,1,4,3,3,2,4,4,3,2,2,2,3,2,3,2,4,4,2,1,2,3
2058,1,14,1,2,1,1,1,4,2,5,2,3,1,3,2,5,5,2,5,5,4,5,4,5,5,5,2,2,2,3,4,3,3,2,3,2,1,3,5,5,1,2,4,2,3,3,2,4,5,3,4,2,2,1,5,4,4
2059,3,56,2,2,1,2,4,2,5,3,4,2,5,3,3,3,1,4,3,5,1,1,1,1,1,1,1,5,1,5,1,2,1,5,5,5,4,3,5,1,5,3,4,3,4,4,3,2,4,3,3,1,5,3,5,3,2
2060,3,24,1,2,2,1,1,5,1,5,1,5,1,5,1,5,5,1,5,1,5,5,3,5,5,5,3,1,3,4,3,3,5,4,4,1,1,5,2,5,1,5,1,4,5,5,5,4,5,1,5,1,5,5,5,5,4
2061,4,40,1,2,1,1,3,2,5,3,5,2,5,5,3,3,5,1,5,3,5,5,1,2,3,3,1,5,1,5,3,5,1,5,5,5,3,1,3,3,3,4,5,3,5,5,3,1,3,1,5,3,5,1,5,3,2
2062,1,21,1,2,1,2,2,3,4,3,5,3,4,4,3,3,2,4,2,3,3,3,3,2,2,3,2,5,1,5,2,3,1,5,4,4,2,5,2,4,1,5,2,2,3,3,4,1,5,1,4,1,5,3,5,4,1
2063,11,22,1,1,1,1,4,3,3,3,3,3,3,3,3,3,4,4,4,2,4,3,4,4,3,4,2,3,3,3,2,3,2,4,3,3,2,4,2,4,1,4,4,5,2,2,4,3,5,2,4,1,2,3,5,4,0
2064,11,20,1,1,1,2,2,3,2,4,1,4,2,4,3,5,5,2,5,1,4,4,5,5,4,5,2,4,1,4,2,5,1,5,5,4,4,1,4,2,3,4,4,2,3,4,5,2,5,1,5,1,2,5,5,5,0
2065,11,19,2,2,2,5,5,3,3,4,3,4,2,4,5,4,4,4,4,4,5,4,4,3,3,3,3,3,2,3,4,5,2,3,4,3,3,4,3,2,3,4,3,3,2,3,2,3,3,3,3,3,3,2,3,3,3
2066,4,35,2,1,1,1,5,1,5,5,5,1,5,3,5,5,3,3,3,1,3,3,1,3,3,1,5,5,1,5,3,5,1,5,5,5,5,1,5,1,5,1,5,3,5,5,5,1,5,5,5,1,5,1,5,5,2
2067,3,17,1,2,1,1,4,1,5,1,5,1,5,2,4,1,4,3,4,4,3,3,3,2,3,1,1,5,1,5,1,4,1,4,4,5,3,2,3,2,3,2,4,2,2,4,4,2,5,1,5,1,4,5,2,5,2
2068,1,27,1,2,2,1,5,2,5,2,5,2,5,3,4,3,3,5,3,3,4,2,3,2,2,3,3,5,5,3,2,4,2,5,4,5,5,3,5,3,5,5,5,2,5,5,3,3,5,5,5,5,5,5,5,5,2
2069,4,29,1,1,1,1,2,4,3,4,3,2,1,4,3,4,4,5,4,4,4,3,4,1,3,5,3,5,4,5,4,1,2,3,3,5,3,4,5,4,5,2,3,2,3,5,5,3,5,5,3,4,5,2,4,5,4
2070,1,30,1,1,1,1,1,1,5,1,5,1,5,1,5,1,1,5,1,5,1,1,1,1,1,1,1,5,1,5,5,5,1,5,5,5,1,1,5,1,5,1,5,1,5,5,1,1,5,1,5,1,5,1,1,5,1
2071,4,32,2,1,1,1,2,3,2,3,3,2,2,2,3,4,4,1,3,2,4,4,4,5,4,4,2,2,2,3,3,3,4,3,3,4,2,2,3,2,2,2,2,4,2,4,2,3,2,2,3,4,3,4,2,2,3
2072,11,17,2,1,1,1,3,4,3,4,4,5,3,3,4,5,3,5,4,3,4,3,3,3,5,3,1,3,1,4,3,4,4,3,3,4,3,2,5,3,3,5,4,1,4,3,2,2,3,2,4,2,4,1,4,3,3
2073,11,22,2,2,1,2,1,2,5,2,5,2,4,3,4,2,2,4,3,3,4,3,5,5,3,3,3,5,1,5,1,5,1,3,5,5,3,5,5,4,2,5,5,4,1,3,5,2,5,1,5,1,4,4,4,5,0
2074,4,28,2,1,1,1,2,4,4,4,3,4,4,3,3,3,2,5,4,3,2,2,2,2,2,2,4,4,1,4,4,4,2,4,4,4,4,3,4,2,4,2,3,1,4,4,3,4,3,2,3,3,4,2,4,3,3
2075,11,20,2,2,1,1,1,4,1,2,1,1,1,3,1,5,3,2,4,2,4,3,3,3,2,4,2,3,3,4,1,5,1,4,5,3,3,3,3,4,3,4,5,3,3,4,4,3,4,2,5,1,3,4,5,5,4
2076,13,26,2,2,1,1,1,4,1,5,1,5,1,2,5,5,3,4,3,2,4,3,3,3,3,4,2,4,1,5,2,5,1,3,5,4,5,1,5,1,2,1,1,2,4,3,2,3,5,2,5,1,4,1,4,5,4
2077,3,19,1,2,1,2,4,2,4,2,5,1,5,4,5,4,4,3,5,2,5,5,5,5,4,3,1,5,1,5,1,5,1,4,5,5,2,4,5,5,2,5,1,3,1,1,4,1,5,1,5,1,4,4,5,5,0
2078,11,29,2,2,1,1,2,2,5,4,5,2,4,3,4,1,5,3,5,2,5,5,4,3,4,3,1,5,1,5,3,5,1,5,4,5,5,4,5,5,1,1,4,4,4,3,3,3,5,3,3,1,4,1,5,4,0
2079,11,43,2,2,1,2,5,3,4,3,3,2,4,4,4,3,4,3,3,3,2,2,4,4,2,3,4,4,1,4,2,3,2,3,4,4,4,2,4,3,4,4,4,1,4,4,3,3,4,3,3,3,3,3,3,3,3
2080,13,56,2,2,1,1,5,4,3,3,4,1,3,3,3,5,1,5,4,2,3,3,4,4,1,3,1,5,1,5,5,5,3,3,5,5,3,5,5,2,3,3,5,3,5,5,5,1,5,1,5,1,5,1,5,5,2
2081,11,15,1,2,1,1,3,4,4,4,2,3,1,4,2,5,4,4,3,2,4,1,4,4,4,2,2,5,2,5,2,2,2,2,4,4,2,4,4,4,1,2,3,2,3,3,3,2,4,3,3,3,4,2,4,3,3
2082,3,19,1,1,1,1,4,2,4,4,4,2,3,2,3,4,4,4,4,3,3,4,4,3,4,3,2,4,3,3,4,4,3,4,3,4,2,4,4,4,3,4,3,4,3,2,3,3,5,2,5,1,3,3,4,5,0
2083,3,20,1,2,1,1,2,3,1,5,3,2,2,4,2,5,5,1,5,1,5,5,4,5,4,5,2,2,4,4,3,4,2,3,4,2,2,3,2,4,1,5,3,5,3,2,5,1,5,2,4,1,5,3,5,3,0
2084,6,15,0,2,2,1,3,2,3,2,4,2,4,2,5,2,4,3,4,3,3,3,3,3,3,3,2,4,3,4,2,4,2,4,4,3,3,4,4,3,1,4,3,3,2,4,5,2,4,2,4,1,4,4,3,5,0
2085,13,21,2,2,1,5,1,5,1,5,1,5,1,5,1,5,5,4,5,3,4,4,4,4,4,4,2,5,2,4,2,2,5,4,4,2,4,3,4,3,1,3,1,5,1,1,4,2,5,3,4,1,5,3,5,5,4
2086,4,23,2,2,1,1,3,4,2,3,2,4,1,5,5,3,2,3,5,3,2,2,1,2,3,4,4,2,1,4,2,5,1,2,4,4,3,4,3,2,3,2,1,1,3,4,4,2,5,1,4,1,4,1,1,5,1
2087,4,26,1,2,2,1,3,2,3,4,2,3,1,2,3,5,2,2,3,2,2,2,3,2,3,1,4,3,2,3,3,1,2,2,3,5,4,1,4,1,3,1,4,1,3,5,1,3,4,3,4,1,4,2,5,4,4
2088,11,19,2,2,1,5,5,2,4,4,4,4,1,2,3,4,4,4,3,5,4,2,1,3,5,3,5,4,4,5,3,5,4,5,5,3,4,2,5,3,5,3,5,1,5,3,3,2,5,2,3,1,3,3,5,4,2
2089,11,19,2,2,1,5,4,2,3,3,3,2,2,3,2,5,4,2,5,4,4,4,4,2,2,2,5,4,2,3,2,4,3,4,4,4,3,3,4,2,3,2,4,2,4,2,2,4,4,3,2,2,4,2,2,2,3
2090,13,19,2,1,1,1,5,4,5,4,5,4,4,3,5,4,1,2,5,3,5,3,5,1,5,2,1,5,1,5,1,4,1,2,5,4,5,1,5,1,5,1,5,1,5,4,3,1,5,2,4,1,5,4,5,4,2
2091,13,19,2,1,1,5,5,5,2,5,1,1,1,5,1,5,5,2,5,4,4,1,1,1,2,2,1,5,1,5,4,5,5,5,5,2,2,1,5,1,4,5,5,1,5,1,1,4,4,5,5,1,2,1,5,5,3
2092,5,31,2,1,2,1,4,3,4,4,3,2,1,3,1,3,2,3,2,3,3,2,2,3,3,3,4,4,1,4,3,4,2,4,2,4,3,2,2,3,2,2,4,2,3,4,2,3,5,2,4,1,3,3,3,4,1
2093,1,18,1,2,1,1,1,4,5,3,3,2,4,2,5,4,3,3,2,1,2,2,3,3,1,5,1,5,3,1,2,3,2,3,1,2,2,5,3,3,1,5,1,3,1,3,4,2,5,1,5,1,4,2,4,5,1
2094,1,41,1,2,1,2,3,1,5,3,3,2,2,4,4,4,4,2,4,4,4,4,2,2,4,2,2,4,2,4,3,2,2,3,3,4,3,3,5,2,3,4,5,2,4,5,5,1,5,1,4,1,5,5,5,5,2
2095,1,22,2,2,1,2,5,3,5,1,5,2,5,1,5,3,5,2,5,3,4,4,5,4,5,3,4,3,4,5,1,5,4,5,5,5,5,4,5,1,5,5,5,5,5,5,4,2,4,5,5,3,5,1,5,3,0
2096,1,24,1,2,1,2,1,4,2,4,3,1,2,4,3,4,2,4,3,3,2,2,2,2,2,2,1,3,1,5,3,5,2,5,5,5,3,3,4,2,2,3,4,2,3,4,4,1,5,2,5,1,5,1,4,5,2
2097,6,24,1,2,1,1,1,2,1,5,1,1,1,5,1,5,5,1,5,1,2,5,5,5,2,5,1,1,1,5,1,5,1,5,5,4,5,5,5,2,5,5,5,1,5,5,5,1,5,1,5,1,3,5,5,5,0
2098,3,15,2,1,1,1,1,3,2,5,3,2,1,3,2,5,5,3,4,3,5,3,5,5,5,2,4,2,4,4,3,3,4,2,4,3,5,5,5,2,2,1,5,2,5,4,5,3,4,3,5,2,5,5,5,5,4
2099,3,41,1,2,1,1,1,4,1,5,1,5,1,5,1,5,5,1,5,1,3,5,4,5,4,5,5,3,1,5,3,5,5,2,3,4,3,5,4,3,1,4,2,4,2,2,5,5,1,5,2,5,5,4,5,2,3
2100,4,1992,2,2,1,1,1,5,2,3,1,5,1,5,1,3,5,1,1,3,1,5,1,5,1,3,5,3,1,1,1,5,4,5,5,3,3,2,3,3,5,5,1,5,3,4,4,1,5,3,3,3,3,2,3,4,4
2101,3,20,1,2,1,1,1,5,1,5,1,3,1,5,1,5,5,2,5,1,3,5,2,2,3,5,1,4,2,5,1,5,1,3,4,2,2,4,4,3,2,4,4,3,1,4,4,1,5,1,2,1,5,4,5,3,4
2102,3,18,2,2,1,1,3,5,3,4,2,5,4,5,2,5,5,2,5,1,4,5,4,4,4,5,5,2,3,2,5,4,3,3,1,3,5,2,5,2,4,2,1,1,4,4,3,2,2,3,5,4,5,4,5,3,4
2103,3,17,1,2,1,1,1,3,3,4,4,2,4,1,2,3,5,3,5,2,4,5,4,2,5,4,1,5,1,5,1,5,1,5,5,2,5,5,4,5,1,5,3,3,5,4,5,2,3,1,5,3,5,5,5,5,0
2104,11,32,2,1,1,2,4,2,5,1,5,2,5,2,5,3,2,5,2,4,1,2,2,2,3,2,2,4,3,5,2,4,2,4,4,4,2,4,4,4,2,4,4,4,2,4,5,1,5,1,5,1,5,5,4,5,1
2105,11,13,2,2,1,1,5,1,5,2,3,1,5,1,5,3,2,2,3,2,3,3,3,3,3,2,2,5,5,4,2,3,1,4,4,5,4,2,4,3,3,2,4,2,3,5,5,1,5,1,5,1,5,2,3,5,1
2106,4,20,2,1,1,1,4,3,4,4,4,4,4,2,4,3,3,4,3,3,2,3,4,4,2,2,3,4,4,4,3,4,2,4,3,4,3,3,4,4,3,4,3,3,3,4,4,2,4,2,4,2,3,4,3,4,1
2107,3,17,2,2,1,1,4,1,4,2,4,2,3,2,5,2,2,4,2,3,3,3,3,2,2,2,1,4,2,5,2,5,1,4,5,5,2,4,4,5,1,4,3,3,2,2,5,2,5,2,4,1,4,4,5,4,1
2108,4,22,2,2,1,1,3,1,3,1,5,1,5,2,5,5,3,4,5,3,3,5,5,2,4,2,1,5,1,4,1,5,3,4,5,5,3,5,2,2,2,5,3,3,5,4,4,1,4,1,4,1,4,5,5,5,0
2109,4,19,2,1,1,1,1,4,2,3,3,4,2,2,4,4,2,4,2,3,2,3,4,4,2,2,4,2,2,1,5,3,4,1,1,3,3,2,3,3,3,2,3,3,3,3,4,1,2,2,4,2,5,4,3,4,4
2110,3,57,2,1,1,1,2,4,3,4,1,2,2,2,4,4,3,4,3,2,3,1,2,2,2,3,2,2,1,4,3,2,4,3,4,3,5,3,3,3,2,3,3,2,2,4,5,1,5,1,4,1,5,4,5,5,4
2111,3,27,2,2,1,2,5,1,5,2,5,1,4,2,4,2,4,4,4,3,4,4,3,3,4,2,2,5,1,4,2,5,1,4,4,4,2,5,4,5,1,5,3,4,1,3,5,3,4,1,5,1,4,5,3,5,0
2112,1,14,1,2,1,1,3,4,5,4,2,3,3,3,5,5,5,3,5,4,1,2,4,3,2,4,5,5,2,5,1,3,2,3,5,4,1,5,5,5,1,3,2,3,2,4,3,1,5,1,5,1,3,2,5,5,0
2113,9,19,1,2,2,1,2,1,3,5,3,2,3,5,5,4,5,2,5,4,4,5,5,5,5,4,4,3,3,5,2,5,3,2,4,5,3,1,4,5,1,3,5,4,1,5,2,1,5,2,5,1,4,1,5,5,0
2114,4,18,2,2,1,1,2,4,5,4,4,3,4,2,4,4,2,4,3,2,2,2,1,2,2,2,4,5,1,5,1,5,1,4,5,3,5,1,5,1,3,1,4,1,5,5,3,2,5,1,5,1,5,2,4,5,2
2115,3,35,1,1,1,1,3,3,5,2,5,2,5,3,4,1,3,4,3,2,2,2,2,2,2,2,1,5,2,5,2,5,2,4,3,4,5,1,3,3,3,1,4,1,3,5,4,1,4,2,4,1,4,4,4,4,2
2116,11,18,2,2,1,1,1,5,2,4,1,5,1,4,1,5,2,3,3,2,2,3,4,5,5,3,3,2,3,4,3,3,4,4,4,3,3,2,4,1,3,2,5,3,4,3,4,2,3,1,3,2,4,2,5,3,4
2117,1,40,1,2,1,1,2,4,3,3,4,2,1,5,1,4,3,4,4,3,3,3,3,3,3,3,1,3,1,4,2,3,3,4,4,4,4,1,4,1,3,2,5,1,4,4,5,2,3,2,4,3,5,5,4,4,2
2118,3,21,2,2,1,1,4,2,5,2,5,1,5,2,4,1,2,4,3,3,4,4,5,5,4,3,2,5,2,4,4,2,3,4,4,4,3,3,5,4,2,4,3,3,1,2,4,2,5,2,4,1,5,4,2,5,0
2119,11,18,2,2,1,1,2,2,4,3,4,2,1,4,1,5,5,4,5,3,5,5,4,5,5,3,5,3,3,5,1,5,1,4,5,4,4,5,4,1,3,1,4,1,4,1,1,5,2,5,4,4,5,1,5,2,3
2120,13,31,1,1,1,1,4,2,2,3,1,4,2,4,4,3,2,3,4,4,5,2,4,3,3,2,2,2,3,2,5,3,4,1,1,5,3,4,3,2,3,2,4,3,2,4,4,2,2,2,5,2,3,4,4,5,4
2121,4,34,2,2,1,1,4,4,3,3,4,5,5,3,4,5,5,2,5,5,5,5,4,5,5,5,1,1,1,5,3,5,5,5,5,3,3,5,5,1,4,5,5,3,4,3,5,3,3,3,5,1,4,1,3,5,0
2122,5,20,1,2,1,1,1,2,3,4,4,2,1,4,1,4,5,3,5,2,3,5,4,4,4,3,1,4,2,5,2,5,3,5,5,5,4,3,5,3,1,4,2,3,2,5,4,1,5,2,4,1,4,4,5,5,0
2123,3,15,1,1,1,1,5,1,5,1,5,1,5,4,5,5,1,5,2,1,2,1,2,1,1,1,2,3,5,1,2,1,1,3,2,1,1,2,3,3,1,5,2,1,3,3,1,3,5,1,5,1,3,2,1,5,1
2124,5,17,2,2,1,1,5,2,5,1,5,1,5,2,5,2,2,4,3,4,3,2,3,3,3,2,1,5,2,5,1,5,1,4,5,4,4,3,5,2,4,2,5,3,5,4,4,1,5,3,5,1,4,4,5,5,2
2125,7,16,1,3,3,1,5,1,1,2,5,1,3,2,5,4,5,1,5,1,5,5,5,3,4,2,1,1,5,1,5,5,5,3,3,2,1,3,1,5,1,5,3,3,3,3,5,2,5,5,3,1,3,3,3,5,0
2126,3,62,1,1,1,1,2,5,4,4,1,2,2,5,1,5,4,3,3,5,3,3,3,1,3,2,1,4,1,5,1,5,2,4,5,4,4,1,4,1,2,2,4,1,4,2,3,1,4,1,5,1,4,2,5,5,2
2127,13,19,1,2,3,2,1,3,4,4,4,2,2,4,1,2,4,4,4,2,4,4,4,3,4,3,1,4,2,5,2,5,2,4,4,4,4,2,5,1,3,1,5,2,4,4,3,1,5,1,4,1,4,3,4,5,2
2128,4,34,2,1,1,1,1,5,1,4,2,5,1,4,1,5,5,2,4,2,5,5,2,4,5,4,3,3,1,4,3,5,5,3,4,2,3,2,3,2,4,2,4,3,4,3,3,4,3,3,3,3,2,3,4,3,4
2129,12,22,1,1,1,1,4,3,5,4,2,3,2,3,3,3,4,5,5,3,3,5,5,4,4,2,5,3,4,4,3,3,2,3,3,3,4,5,4,5,1,4,2,3,1,3,3,3,5,1,3,1,3,4,4,4,0
2130,1,35,1,1,1,5,5,1,5,1,5,1,5,1,5,1,1,5,1,1,1,1,1,1,1,1,1,5,1,5,1,5,1,5,5,5,5,1,5,1,5,1,5,1,5,5,5,1,1,1,5,1,5,5,5,5,2
2131,1,20,2,1,1,2,1,4,2,5,2,2,1,5,2,5,2,4,4,5,4,4,5,4,2,4,4,2,1,3,3,4,2,4,2,3,4,2,4,4,2,4,4,4,3,4,4,2,5,1,4,2,4,4,4,4,4
